"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Pajo J.F.; Haukø M.; Skaret-Thoresen R.; Gonzalez A.; Lehne P.H.; Grøndalen O.","Pajo, J.F. (57189657677); Haukø, M. (58542864500); Skaret-Thoresen, R. (58542922900); Gonzalez, A. (35271642500); Lehne, P.H. (6508090073); Grøndalen, O. (24723945600)","57189657677; 58542864500; 58542922900; 35271642500; 6508090073; 24723945600","Digitalization in the Aquaculture Industry: Validation Trials over a Commercial 5G Network","2023","2023 Joint European Conference on Networks and Communications and 6G Summit, EuCNC/6G Summit 2023","","","","520","525","5","1","10.1109/EuCNC/6GSummit58263.2023.10188310","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168424136&doi=10.1109%2fEuCNC%2f6GSummit58263.2023.10188310&partnerID=40&md5=9a26febf044d0cd404696db2ccb4cff9","Conference paper","Final","","Scopus","2-s2.0-85168424136"
"Onursal F.S.; Öz S.","Onursal, Fatma Serab (57220009017); Öz, Sabri (58626959400)","57220009017; 58626959400","Bridging the Gap Between Technology and Farming in Agri-Tech: A Bibliometric Analysis","2024","Lecture Notes in Networks and Systems","960","","","370","382","12","0","10.1007/978-3-031-56728-5_31","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193589863&doi=10.1007%2f978-3-031-56728-5_31&partnerID=40&md5=769623500d1cbe097d32b808cef39be0","Conference paper","Final","","Scopus","2-s2.0-85193589863"
"Hüllmann J.A.; Precht H.; Wübbe C.","Hüllmann, Joschka Andreas (57202990766); Precht, Hauke (57192103959); Wübbe, Carolin (58689181600)","57202990766; 57192103959; 58689181600","Configurations of human-AI work in agriculture","2023","Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI)","P-330","","","363","368","5","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176332153&partnerID=40&md5=003e7387c9f7a20992a2b8c5d5722741","Conference paper","Final","","Scopus","2-s2.0-85176332153"
"Baghdadi F.; Cirillo D.; Lezzi D.; Lordan F.; Vazquez F.; Lomurno E.; Archetti A.; Ardagna D.; Matteucci M.","Baghdadi, Fatemeh (58966051900); Cirillo, Davide (55257048700); Lezzi, Daniele (22334444700); Lordan, Francesc (54684429800); Vazquez, Fernando (58566971400); Lomurno, Eugenio (57226274677); Archetti, Alberto (57224666739); Ardagna, Danilo (6508040906); Matteucci, Matteo (7005216953)","58966051900; 55257048700; 22334444700; 54684429800; 58566971400; 57226274677; 57224666739; 6508040906; 7005216953","Harnessing the Computing Continuum Across Personalized Healthcare, Maintenance and Inspection, and Farming 4.0","2024","International Conference on Cloud Computing and Services Science, CLOSER - Proceedings","","","","375","385","10","0","10.5220/0012739700003711","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194148318&doi=10.5220%2f0012739700003711&partnerID=40&md5=6e6bd1a9fae5db33601072019b517a82","Conference paper","Final","","Scopus","2-s2.0-85194148318"
"Rokade A.; Singh M.","Rokade, Ashay (57420199900); Singh, Manwinder (57201313730)","57420199900; 57201313730","Analysis of Precise Green House Management System using Machine Learning based Internet of Things (IoT) for Smart Farming","2021","Proceedings - 2nd International Conference on Smart Electronics and Communication, ICOSEC 2021","","","","21","28","7","17","10.1109/ICOSEC51865.2021.9591962","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123182672&doi=10.1109%2fICOSEC51865.2021.9591962&partnerID=40&md5=c2e6321d48a0e920face74bf7152954b","Conference paper","Final","","Scopus","2-s2.0-85123182672"
"Knoll F.J.; Grelcke M.; Czymmek V.; Holtorf T.; Hussmann S.","Knoll, Florian J. (57212441958); Grelcke, Michael (57195727489); Czymmek, Vitali (57195727295); Holtorf, Tim (56770189900); Hussmann, Stephan (6602108734)","57212441958; 57195727489; 57195727295; 56770189900; 6602108734","CPU architecture for a fast and energy-saving calculation of convolution neural networks","2017","Proceedings of SPIE - The International Society for Optical Engineering","10334","","103340P","","","","0","10.1117/12.2270290","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029633204&doi=10.1117%2f12.2270290&partnerID=40&md5=1916ea12efad757522687442d14a9231","Conference paper","Final","","Scopus","2-s2.0-85029633204"
"Reddy K.P.; Roshni Thanka M.; Edwin E.B.; Ebenezer V.; Stewart Kirubakaran S.; Joy P.","Reddy, K. Prashanth (59174257900); Roshni Thanka, M. (57208052266); Edwin, E. Bijolin (59155667200); Ebenezer, V. (56607413500); Stewart Kirubakaran, S. (58573991400); Joy, Priscilla (59163518700)","59174257900; 57208052266; 59155667200; 56607413500; 58573991400; 59163518700","Farm-era: Precision Farming with GIS, AI Pest Management, Smart Irrigation, Data Analytics, and Optimized Crop Planning","2024","7th International Conference on Inventive Computation Technologies, ICICT 2024","","","","1134","1140","6","0","10.1109/ICICT60155.2024.10544687","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196072361&doi=10.1109%2fICICT60155.2024.10544687&partnerID=40&md5=bc7f77d846db16b9df7c5734f4adc044","Conference paper","Final","","Scopus","2-s2.0-85196072361"
"Hussain M.; Karthikeyan N.; Maurya I.; Sinha S.","Hussain, Mansoor (59156923700); Karthikeyan, N. (57212403362); Maurya, Ipsit (58893853300); Sinha, Subhratha (58894005200)","59156923700; 57212403362; 58893853300; 58894005200","AI-Optimized Irrigation for Sustainable Agriculture","2024","2024 International Conference on Advances in Data Engineering and Intelligent Computing Systems, ADICS 2024","","","","","","","0","10.1109/ADICS58448.2024.10533562","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195171746&doi=10.1109%2fADICS58448.2024.10533562&partnerID=40&md5=56536cf8eccf26e5a14da382a67c3bdb","Conference paper","Final","","Scopus","2-s2.0-85195171746"
"Ichiura S.","Ichiura, Shigeru (57217014350)","57217014350","A Vision for Smart Poultry Production to Achieve Multiple SDGs","2022","Informatics in Poultry Production: A Technical Guidebook for Egg and Poultry Education, Research and Industry","","","","143","156","13","1","10.1007/978-981-19-2556-6_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168587473&doi=10.1007%2f978-981-19-2556-6_9&partnerID=40&md5=8940004e49d225a16a471ac6081f3b35","Book chapter","Final","","Scopus","2-s2.0-85168587473"
"Alonso R.S.","Alonso, Ricardo S. (35179029000)","35179029000","Low-power distributed ai and iot for measuring lamb’s milk ingestion and predicting meat yield and malnutrition diseases","2021","Advances in Intelligent Systems and Computing","1239 AISC","","","251","257","6","1","10.1007/978-3-030-58356-9_26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091484167&doi=10.1007%2f978-3-030-58356-9_26&partnerID=40&md5=032e38faea9c2a1ce3f8feba41f27042","Conference paper","Final","","Scopus","2-s2.0-85091484167"
"Holzinger A.; Fister I.; Fister I.; Kaul H.-P.; Asseng S.","Holzinger, Andreas (23396282000); Fister, Iztok (54794041300); Fister, Iztok (55545862632); Kaul, Hans-Peter (7005183393); Asseng, Senthold (6603665635)","23396282000; 54794041300; 55545862632; 7005183393; 6603665635","Human-Centered AI in Smart Farming: Toward Agriculture 5.0","2024","IEEE Access","12","","","62199","62214","15","0","10.1109/ACCESS.2024.3395532","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192170492&doi=10.1109%2fACCESS.2024.3395532&partnerID=40&md5=8ea9793689ca1c03fbf0aad4108870f7","Article","Final","","Scopus","2-s2.0-85192170492"
"Sarkadi S.; Moraru I.; Manning L.","Sarkadi, Stefan (57203361911); Moraru, Ionut (57211170406); Manning, Louise (57913356700)","57203361911; 57211170406; 57913356700","Sustainable AI & Agricultural Technologies","2023","Proceedings - 2023 IEEE International Conference on Automatic Computing and Self-Organizing Systems Companion, ACSOS-C 2023","","","","90","91","1","0","10.1109/ACSOS-C58168.2023.00045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181536016&doi=10.1109%2fACSOS-C58168.2023.00045&partnerID=40&md5=a72abc12fc523f66640b5bdab66dcd21","Conference paper","Final","","Scopus","2-s2.0-85181536016"
"Ryan M.","Ryan, Mark (57211005946)","57211005946","The social and ethical impacts of artificial intelligence in agriculture: mapping the agricultural AI literature","2023","AI and Society","38","6","","2473","2485","12","28","10.1007/s00146-021-01377-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122252232&doi=10.1007%2fs00146-021-01377-9&partnerID=40&md5=524aa41cfbc7fa1de8eddec0f650ef20","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85122252232"
"Al-Tarawneh L.; Mehyar A.; Alasasaf S.E.; Al-Mariat M.","Al-Tarawneh, Luae (39361069100); Mehyar, Asem (58078115100); Alasasaf, Salah Eddin (58078364400); Al-Mariat, Malik (58079629900)","39361069100; 58078115100; 58078364400; 58079629900","Environmental Tracking System using IoT Based WSN: Smart Agriculture","2022","2022 4th IEEE Middle East and North Africa COMMunications Conference, MENACOMM 2022","","","","147","152","5","7","10.1109/MENACOMM57252.2022.9998269","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146829670&doi=10.1109%2fMENACOMM57252.2022.9998269&partnerID=40&md5=f2879ab0ad73f81b1dc154b6c86e1585","Conference paper","Final","","Scopus","2-s2.0-85146829670"
"Qazi S.; Khawaja B.A.; Farooq Q.U.","Qazi, Sameer (15061657500); Khawaja, Bilal A. (24436217500); Farooq, Qazi Umar (55240569800)","15061657500; 24436217500; 55240569800","IoT-Equipped and AI-Enabled Next Generation Smart Agriculture: A Critical Review, Current Challenges and Future Trends","2022","IEEE Access","10","","","21219","21235","16","123","10.1109/ACCESS.2022.3152544","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125359360&doi=10.1109%2fACCESS.2022.3152544&partnerID=40&md5=6c3bb5580a5252d6a8bdbf9d8571726a","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85125359360"
"Laddha S.V.; Shastrakar P.P.; Zade S.A.","Laddha, Snehal V. (58656411000); Shastrakar, Pratik P. (58744702900); Zade, Sanskruti A. (58744703000)","58656411000; 58744702900; 58744703000","A Survey on Smart Hydroponics Farming: An Integration of IoT and AI-Based Efficient Alternative to Land Farming","2023","Smart Innovation, Systems and Technologies","371","","","121","130","9","0","10.1007/978-981-99-6706-3_11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178618991&doi=10.1007%2f978-981-99-6706-3_11&partnerID=40&md5=8326dbc60b1920d1ee84429934d18065","Conference paper","Final","","Scopus","2-s2.0-85178618991"
"Feldkamp N.; Strassburger S.","Feldkamp, Niclas (56811669700); Strassburger, Steffen (6602802776)","56811669700; 6602802776","From Explainable AI to Explainable Simulation: Using Machine Learning and XAI to understand System Robustness","2023","ACM International Conference Proceeding Series","","","","96","106","10","1","10.1145/3573900.3591114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163894026&doi=10.1145%2f3573900.3591114&partnerID=40&md5=1d1bd8540275e7e02e822b4891aad1dc","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85163894026"
