"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Shih T.-F.; Hsieh C.-H.; Lin H.-C.; Chang Y.-H.; Shih J.-Y.","Shih, Tzay-Farn (14064126600); Hsieh, Cheng-Hsiung (8930387600); Lin, Hung-Chun (57211541091); Chang, Yi-Hung (57211536612); Shih, Jyun-Yan (57211537856)","14064126600; 8930387600; 57211541091; 57211536612; 57211537856","A smart unmanned aerial system for precision farming management","2019","Proceedings of SPIE - The International Society for Optical Engineering","11123","","111230N","","","","2","10.1117/12.2532013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074361939&doi=10.1117%2f12.2532013&partnerID=40&md5=f3b8796622ca8a53e06b522763ae3685","Conference paper","Final","","Scopus","2-s2.0-85074361939"
"Mishra S.; Sharma S.K.","Mishra, Shailendra (55463276900); Sharma, Sunil Kumar (57211202554)","55463276900; 57211202554","Advanced contribution of IoT in agricultural production for the development of smart livestock environments","2023","Internet of Things (Netherlands)","22","","100724","","","","30","10.1016/j.iot.2023.100724","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148668944&doi=10.1016%2fj.iot.2023.100724&partnerID=40&md5=239f3aa397737e461659543b60736359","Article","Final","","Scopus","2-s2.0-85148668944"
"Pajo J.F.; Haukø M.; Skaret-Thoresen R.; Gonzalez A.; Lehne P.H.; Grøndalen O.","Pajo, J.F. (57189657677); Haukø, M. (58542864500); Skaret-Thoresen, R. (58542922900); Gonzalez, A. (35271642500); Lehne, P.H. (6508090073); Grøndalen, O. (24723945600)","57189657677; 58542864500; 58542922900; 35271642500; 6508090073; 24723945600","Digitalization in the Aquaculture Industry: Validation Trials over a Commercial 5G Network","2023","2023 Joint European Conference on Networks and Communications and 6G Summit, EuCNC/6G Summit 2023","","","","520","525","5","1","10.1109/EuCNC/6GSummit58263.2023.10188310","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168424136&doi=10.1109%2fEuCNC%2f6GSummit58263.2023.10188310&partnerID=40&md5=9a26febf044d0cd404696db2ccb4cff9","Conference paper","Final","","Scopus","2-s2.0-85168424136"
"Onursal F.S.; Öz S.","Onursal, Fatma Serab (57220009017); Öz, Sabri (58626959400)","57220009017; 58626959400","Bridging the Gap Between Technology and Farming in Agri-Tech: A Bibliometric Analysis","2024","Lecture Notes in Networks and Systems","960","","","370","382","12","0","10.1007/978-3-031-56728-5_31","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193589863&doi=10.1007%2f978-3-031-56728-5_31&partnerID=40&md5=769623500d1cbe097d32b808cef39be0","Conference paper","Final","","Scopus","2-s2.0-85193589863"
"Rokade A.; Singh M.","Rokade, Ashay (57420199900); Singh, Manwinder (57201313730)","57420199900; 57201313730","Analysis of Precise Green House Management System using Machine Learning based Internet of Things (IoT) for Smart Farming","2021","Proceedings - 2nd International Conference on Smart Electronics and Communication, ICOSEC 2021","","","","21","28","7","17","10.1109/ICOSEC51865.2021.9591962","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123182672&doi=10.1109%2fICOSEC51865.2021.9591962&partnerID=40&md5=c2e6321d48a0e920face74bf7152954b","Conference paper","Final","","Scopus","2-s2.0-85123182672"
"Knoll F.J.; Grelcke M.; Czymmek V.; Holtorf T.; Hussmann S.","Knoll, Florian J. (57212441958); Grelcke, Michael (57195727489); Czymmek, Vitali (57195727295); Holtorf, Tim (56770189900); Hussmann, Stephan (6602108734)","57212441958; 57195727489; 57195727295; 56770189900; 6602108734","CPU architecture for a fast and energy-saving calculation of convolution neural networks","2017","Proceedings of SPIE - The International Society for Optical Engineering","10334","","103340P","","","","0","10.1117/12.2270290","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029633204&doi=10.1117%2f12.2270290&partnerID=40&md5=1916ea12efad757522687442d14a9231","Conference paper","Final","","Scopus","2-s2.0-85029633204"
"Reddy K.P.; Roshni Thanka M.; Edwin E.B.; Ebenezer V.; Stewart Kirubakaran S.; Joy P.","Reddy, K. Prashanth (59174257900); Roshni Thanka, M. (57208052266); Edwin, E. Bijolin (59155667200); Ebenezer, V. (56607413500); Stewart Kirubakaran, S. (58573991400); Joy, Priscilla (59163518700)","59174257900; 57208052266; 59155667200; 56607413500; 58573991400; 59163518700","Farm-era: Precision Farming with GIS, AI Pest Management, Smart Irrigation, Data Analytics, and Optimized Crop Planning","2024","7th International Conference on Inventive Computation Technologies, ICICT 2024","","","","1134","1140","6","0","10.1109/ICICT60155.2024.10544687","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196072361&doi=10.1109%2fICICT60155.2024.10544687&partnerID=40&md5=bc7f77d846db16b9df7c5734f4adc044","Conference paper","Final","","Scopus","2-s2.0-85196072361"
"Alonso R.S.","Alonso, Ricardo S. (35179029000)","35179029000","Low-power distributed ai and iot for measuring lamb’s milk ingestion and predicting meat yield and malnutrition diseases","2021","Advances in Intelligent Systems and Computing","1239 AISC","","","251","257","6","1","10.1007/978-3-030-58356-9_26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091484167&doi=10.1007%2f978-3-030-58356-9_26&partnerID=40&md5=032e38faea9c2a1ce3f8feba41f27042","Conference paper","Final","","Scopus","2-s2.0-85091484167"
"Holzinger A.; Fister I.; Fister I.; Kaul H.-P.; Asseng S.","Holzinger, Andreas (23396282000); Fister, Iztok (54794041300); Fister, Iztok (55545862632); Kaul, Hans-Peter (7005183393); Asseng, Senthold (6603665635)","23396282000; 54794041300; 55545862632; 7005183393; 6603665635","Human-Centered AI in Smart Farming: Toward Agriculture 5.0","2024","IEEE Access","12","","","62199","62214","15","0","10.1109/ACCESS.2024.3395532","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192170492&doi=10.1109%2fACCESS.2024.3395532&partnerID=40&md5=8ea9793689ca1c03fbf0aad4108870f7","Article","Final","","Scopus","2-s2.0-85192170492"
"Subudhi S.; Dabhade R.G.; Shastri R.; Gundu V.; Vignesh G.D.; Chaturvedi A.","Subudhi, Sharmila (56771094300); Dabhade, Ravindra G. (54383240800); Shastri, Rajveer (56022315300); Gundu, Venkateswarlu (57217297943); Vignesh, G.D. (57203344932); Chaturvedi, Abhay (56205251600)","56771094300; 54383240800; 56022315300; 57217297943; 57203344932; 56205251600","Empowering sustainable farming practices with AI-enabled interactive visualization of hyperspectral imaging data","2023","Measurement: Sensors","30","","100935","","","","3","10.1016/j.measen.2023.100935","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175483718&doi=10.1016%2fj.measen.2023.100935&partnerID=40&md5=378a7689f1ebbdb48d0388d8a6584ef8","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85175483718"
"Priyanka G.; Anandakumar H.","Priyanka, G. (57378121500); Anandakumar, H. (56230218900)","57378121500; 56230218900","AI Based Innovative Approach on Precision Agriculture Using IoT","2023","IET Conference Proceedings","2023","22","","343","347","4","0","10.1049/icp.2023.2899","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188306558&doi=10.1049%2ficp.2023.2899&partnerID=40&md5=0b90846aa4401661c9f53635445b1abf","Conference paper","Final","","Scopus","2-s2.0-85188306558"
"Qazi S.; Khawaja B.A.; Farooq Q.U.","Qazi, Sameer (15061657500); Khawaja, Bilal A. (24436217500); Farooq, Qazi Umar (55240569800)","15061657500; 24436217500; 55240569800","IoT-Equipped and AI-Enabled Next Generation Smart Agriculture: A Critical Review, Current Challenges and Future Trends","2022","IEEE Access","10","","","21219","21235","16","123","10.1109/ACCESS.2022.3152544","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125359360&doi=10.1109%2fACCESS.2022.3152544&partnerID=40&md5=6c3bb5580a5252d6a8bdbf9d8571726a","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85125359360"
