,Categories,year,Title,link
18,Electrical engineering/Computer technology,2024,An intelligent management system for agricultural technology extension record data,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117807381A
19,Electrical engineering/IT methods for management,2024,An intelligent management system for agricultural technology extension record data,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117807381A
20,Electrical engineering/Computer technology,2024,Unmanned aerial vehicle crop monitoring method and system based on machine learning,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117789067A
21,Electrical engineering/Computer technology,2023,Winter wheat SPAD spatio-temporal change monitoring method,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117760984A
22,Instruments/Measurement,2023,Winter wheat SPAD spatio-temporal change monitoring method,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117760984A
23,Electrical engineering/IT methods for management,2021,Crop growth remote sensing monitoring system and method based on crop model and assimilation technology,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN114359725B
24,Electrical engineering/Audio-visual technology,2023,Crop monitoring equipment,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN220649586U
25,"Electrical engineering/Electrical machinery, apparatus, energy",2023,Crop monitoring equipment,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN220649586U
26,Instruments/Measurement,2023,Crop monitoring equipment,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN220649586U
27,Instruments/Measurement,2021,Remote sensing monitoring device for rice and wheat single variety,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN114264655B
28,Electrical engineering/Telecommunications,2023,Intelligent detection method and system for shielding of outdoor crop monitoring camera,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117746312A
29,Mechanical engineering/Other special machines,2023,CUT CROP MONITORING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2024090376A1
30,Electrical engineering/Audio-visual technology,2021,CROP MONITERING APPARATUS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=KR102649593B1
31,Instruments/Optics,2021,CROP MONITERING APPARATUS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=KR102649593B1
32,Mechanical engineering/Mechanical elements,2021,CROP MONITERING APPARATUS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=KR102649593B1
33,Mechanical engineering/Other special machines,2022,CUT CROP MONITORING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4338576A1
34,Instruments/Measurement,2023,Cut crop monitoring,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117705889A
35,Instruments/Analysis of biological materials,2022,CROP MONITORING SYSTEM AND METHOD,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4334715A1
36,Electrical engineering/Telecommunications,2023,Agricultural Internet of Things monitoring platform,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN220556332U
37,Instruments/Measurement,2023,Agricultural Internet of Things monitoring platform,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN220556332U
38,Mechanical engineering/Other special machines,2019,A crop monitoring system and method,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=IL267321B1
39,Instruments/Measurement,2023,Crop monitoring method and device based on smart greenhouse and medium,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117611999A
40,Mechanical engineering/Mechanical elements,2023,AI crop disease and insect pest monitoring and early warning device,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN220528164U
41,Electrical engineering/Computer technology,2023,Crop yield prediction and optimization method and device based on digital twinning,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117575094A
42,Electrical engineering/IT methods for management,2023,Crop yield prediction and optimization method and device based on digital twinning,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117575094A
43,Electrical engineering/Computer technology,2023,"Target crop lodging monitoring method and device, electronic equipment and storage medium",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117557897A
44,Electrical engineering/Computer technology,2023,Crop growth condition monitoring method,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117541924A
45,Electrical engineering/Computer technology,2023,Tractor lifting system and method capable of conveniently controlling farming depth,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117501886A
46,Mechanical engineering/Other special machines,2023,Tractor lifting system and method capable of conveniently controlling farming depth,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117501886A
47,Electrical engineering/IT methods for management,2021,MOBILE SENSING SYSTEM FOR CROP MONITORING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4088249A4
48,Instruments/Analysis of biological materials,2021,MOBILE SENSING SYSTEM FOR CROP MONITORING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4088249A4
49,Instruments/Measurement,2021,MOBILE SENSING SYSTEM FOR CROP MONITORING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4088249A4
50,Mechanical engineering/Other special machines,2021,MOBILE SENSING SYSTEM FOR CROP MONITORING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4088249A4
51,Electrical engineering/Computer technology,2023,Electrically-driven crop sowing and fertilizing control method and system,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116897668B
52,Mechanical engineering/Other special machines,2023,Electrically-driven crop sowing and fertilizing control method and system,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116897668B
53,Mechanical engineering/Mechanical elements,2023,Monitoring assembly,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN220354890U
54,Instruments/Measurement,2023,In-situ monitoring method for growth state of crops under environmental stress,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117368280A
55,Electrical engineering/Computer technology,2022,Agricultural industry chain information service method and device,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116028586B
56,Electrical engineering/IT methods for management,2022,Agricultural industry chain information service method and device,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116028586B
57,Electrical engineering/Computer technology,2023,Crop monitoring system and method thereof,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11861520B2
58,Electrical engineering/Computer technology,2023,Method and system for measuring and calculating plant height of crop population,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117274359A
59,Electrical engineering/IT methods for management,2023,"Crop monitoring method, device and equipment and storage medium",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117274808A
60,Instruments/Analysis of biological materials,2022,CROP MONITORING SYSTEM AND METHOD,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=BR112023021635A2
61,Electrical engineering/Computer technology,2023,Grain crop monitoring method and system based on SAR satellite remote sensing technology,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117095360B
62,Instruments/Analysis of biological materials,2021,System and method for crop monitoring,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=GB2618896A
63,Instruments/Control,2016,Greenhouse crop growth information real-time peer-to-peer monitoring device and monitoring method,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN106406178B
64,Electrical engineering/Computer technology,2023,Grain crop monitoring method and system based on SAR satellite remote sensing technology,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117095360A
65,Instruments/Measurement,2023,Mobile crop canopy microclimate automatic monitoring device,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117053858A
66,Instruments/Measurement,2023,Winter wheat phenological period identification device and method based on hyperspectral image,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116256312B
67,Instruments/Measurement,2023,GREENHOUSE CROPS MONITORING SYSTEM,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=ES2952722A1
68,Mechanical engineering/Handling,2023,GREENHOUSE CROPS MONITORING SYSTEM,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=ES2952722A1
69,Mechanical engineering/Other special machines,2023,GREENHOUSE CROPS MONITORING SYSTEM,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=ES2952722A1
70,Instruments/Control,2023,Monitoring method and system based on agricultural Internet of Things,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116755376B
71,Electrical engineering/Telecommunications,2022,Pest and disease monitoring device and remote monitoring system and monitoring method thereof,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN114932965B
72,Instruments/Analysis of biological materials,2022,Pest and disease monitoring device and remote monitoring system and monitoring method thereof,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN114932965B
73,Mechanical engineering/Handling,2022,Pest and disease monitoring device and remote monitoring system and monitoring method thereof,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN114932965B
74,Mechanical engineering/Transport,2022,Pest and disease monitoring device and remote monitoring system and monitoring method thereof,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN114932965B
75,Mechanical engineering/Other special machines,2017,A CROP MONITORING SYSTEM AND METHOD,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=PL3756446T3
76,Mechanical engineering/Mechanical elements,2023,Crop growth monitoring equipment,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN219867229U
77,Electrical engineering/Computer technology,2023,Electrically-driven crop sowing and fertilizing control method and system,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116897668A
78,Mechanical engineering/Other special machines,2023,Electrically-driven crop sowing and fertilizing control method and system,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116897668A
79,Electrical engineering/Computer technology,2023,CROP MONITORING SYSTEM AND METHOD THEREOF,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023316116A1
80,Electrical engineering/IT methods for management,2023,"Cotton yield calculation method and device, electronic equipment and storage medium",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116823040A
81,Electrical engineering/Computer technology,2021,System and Method for Crop Monitoring,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023292647A1
82,Mechanical engineering/Other special machines,2021,System and Method for Crop Monitoring,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023292647A1
83,Electrical engineering/IT methods for management,2020,SYSTEM AND METHOD FOR CROP MONITORING AND MANAGEMENT,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4027768A4
84,Instruments/Analysis of biological materials,2020,SYSTEM AND METHOD FOR CROP MONITORING AND MANAGEMENT,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4027768A4
85,Mechanical engineering/Other special machines,2020,SYSTEM AND METHOD FOR CROP MONITORING AND MANAGEMENT,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4027768A4
86,Instruments/Control,2023,Monitoring method and system based on agricultural Internet of Things,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116755376A
87,Electrical engineering/IT methods for management,2020,MOBILE PLATFORM FOR CROP MONITORING AND TREATMENT,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4013215A4
88,Mechanical engineering/Other special machines,2020,MOBILE PLATFORM FOR CROP MONITORING AND TREATMENT,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4013215A4
89,Electrical engineering/Computer technology,2023,Crop monitoring multi-dimensional information extraction and release method based on unmanned aerial vehicle multi-spectral remote sensing,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116682009A
90,Instruments/Control,2023,Crop monitoring multi-dimensional information extraction and release method based on unmanned aerial vehicle multi-spectral remote sensing,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116682009A
91,Instruments/Measurement,2023,Crop monitoring multi-dimensional information extraction and release method based on unmanned aerial vehicle multi-spectral remote sensing,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116682009A
92,Mechanical engineering/Mechanical elements,2023,AI crop disease and insect pest monitoring and early warning device,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116647759A
93,Instruments/Measurement,2023,Remote crop monitoring device based on Beidou,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116647762A
94,Electrical engineering/Audio-visual technology,2023,Crop state unmanned monitoring rescue system and method,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116489479A
95,Instruments/Measurement,2023,Crop state unmanned monitoring rescue system and method,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116489479A
96,Mechanical engineering/Other special machines,2023,Crop state unmanned monitoring rescue system and method,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116489479A
97,Instruments/Control,2022,Intelligent agricultural crop monitoring control system based on Internet of Things,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116449738A
98,Electrical engineering/Computer technology,2023,Data processing method for smart agriculture based on Internet of Things,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116340557A
99,Electrical engineering/IT methods for management,2023,Data processing method for smart agriculture based on Internet of Things,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116340557A
100,Electrical engineering/Digital communication,2023,Intelligent agricultural cloud platform,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116308648A
101,Electrical engineering/IT methods for management,2023,Intelligent agricultural cloud platform,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116308648A
102,Instruments/Measurement,2023,Winter wheat phenological period identification device and method based on hyperspectral image,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116256312A
103,Mechanical engineering/Other special machines,2017,A CROP MONITORING SYSTEM AND METHOD,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP3756446C0
104,Mechanical engineering/Other special machines,2017,A CROP MONITORING SYSTEM AND METHOD,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP3756446B1
105,Chemistry/Chemical engineering,2022,Pesticide spraying system for agricultural greenhouse,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN114600852B
106,Electrical engineering/Audio-visual technology,2022,Pesticide spraying system for agricultural greenhouse,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN114600852B
107,Electrical engineering/Digital communication,2022,Pesticide spraying system for agricultural greenhouse,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN114600852B
108,Instruments/Measurement,2022,Pesticide spraying system for agricultural greenhouse,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN114600852B
109,Mechanical engineering/Other special machines,2022,Pesticide spraying system for agricultural greenhouse,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN114600852B
110,Electrical engineering/Computer technology,2021,System and method for crop monitoring,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=GB2598012B
111,Electrical engineering/IT methods for management,2021,System and method for crop monitoring,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=GB2598012B
112,Instruments/Analysis of biological materials,2021,System and method for crop monitoring,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=GB2598012B
113,Electrical engineering/Computer technology,2022,Agricultural industry chain information service method and device,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116028586A
114,Electrical engineering/IT methods for management,2022,Agricultural industry chain information service method and device,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116028586A
115,Electrical engineering/Computer technology,2022,Calibration board and method and device for calibrating internal and external parameters of multispectral and visible light camera,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116012457A
116,Instruments/Measurement,2022,Calibration board and method and device for calibrating internal and external parameters of multispectral and visible light camera,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116012457A
117,Electrical engineering/Basic communication processes,2023,Crop monitoring data efficient processing method based on Internet of Things,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN115987295A
118,Electrical engineering/Computer technology,2022,Phenology-adaptive crop physiological index deep learning estimation method and system,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN114925947B
119,Electrical engineering/IT methods for management,2022,Phenology-adaptive crop physiological index deep learning estimation method and system,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN114925947B
120,Electrical engineering/Computer technology,2022,Intelligent agricultural service platform based on big data,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN115936916A
121,Electrical engineering/IT methods for management,2022,Intelligent agricultural service platform based on big data,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN115936916A
122,Chemistry/Environmental technology,2022,Intelligent agricultural condition information monitoring system and working method thereof,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN115902155A
123,Electrical engineering/Audio-visual technology,2022,Intelligent agricultural condition information monitoring system and working method thereof,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN115902155A
124,Instruments/Analysis of biological materials,2022,Intelligent agricultural condition information monitoring system and working method thereof,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN115902155A
125,Instruments/Measurement,2022,Intelligent agricultural condition information monitoring system and working method thereof,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN115902155A
126,Electrical engineering/Digital communication,2022,Crop growth state monitoring and early warning device based on big data,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN218734369U
127,Electrical engineering/IT methods for management,2021,SYSTEM AND METHOD FOR CROP MONITORING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4150515A1
128,Mechanical engineering/Other special machines,2021,SYSTEM AND METHOD FOR CROP MONITORING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4150515A1
129,Electrical engineering/Audio-visual technology,2021,CROP MONITERING APPARATUS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=KR20230038941A
130,Instruments/Optics,2021,CROP MONITERING APPARATUS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=KR20230038941A
131,Mechanical engineering/Mechanical elements,2021,CROP MONITERING APPARATUS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=KR20230038941A
